Year,Industry,Unemployment_Thousands
2021,Construction,93.1
2022,Construction,76.4
2023,Construction,89.6
2024,Construction,95.0
2025,Construction,107.1
2021,Manufacturing,84.7
2022,Manufacturing,57.7
2023,Manufacturing,63.1
2024,Manufacturing,73.3
2025,Manufacturing,70.9
2021,Health care and social assistance,51.3
2022,Health care and social assistance,44.9
2023,Health care and social assistance,45.5
2024,Health care and social assistance,49.1
2025,Health care and social assistance,52.9
2021,Accommodation and food services,96.1
2022,Accommodation and food services,61.9
2023,Accommodation and food services,66.0
2024,Accommodation and food services,79.5
2025,Accommodation and food services,65.2
