Year,Province,Education_Level,Unemployment_Rate
2021,Canada,0 to 8 years,10.7
2021,Canada,Some high school,10.9
2021,Canada,High school graduate,8.4
2021,Canada,Some postsecondary,9.4
2021,Canada,Postsecondary certificate or diploma,6.6
2021,Canada,University degree,4.8
2021,Canada,Bachelor's degree,5
2021,Canada,Above bachelor's degree,4.5
2022,Canada,0 to 8 years,8.2
2022,Canada,Some high school,8.5
2022,Canada,High school graduate,5.6
2022,Canada,Some postsecondary,5.6
2022,Canada,Postsecondary certificate or diploma,4.2
2022,Canada,University degree,3.7
2022,Canada,Bachelor's degree,3.8
2022,Canada,Above bachelor's degree,3.5
2023,Canada,0 to 8 years,8.4
2023,Canada,Some high school,7.9
2023,Canada,High school graduate,5.6
2023,Canada,Some postsecondary,5.5
2023,Canada,Postsecondary certificate or diploma,4.1
2023,Canada,University degree,3.9
2023,Canada,Bachelor's degree,4
2023,Canada,Above bachelor's degree,3.8
2024,Canada,0 to 8 years,10.4
2024,Canada,Some high school,8.6
2024,Canada,High school graduate,6.3
2024,Canada,Some postsecondary,6.7
2024,Canada,Postsecondary certificate or diploma,4.7
2024,Canada,University degree,4.7
2024,Canada,Bachelor's degree,4.8
2024,Canada,Above bachelor's degree,4.7
2025,Canada,0 to 8 years,9.8
2025,Canada,Some high school,9.2
2025,Canada,High school graduate,6.9
2025,Canada,Some postsecondary,7.3
2025,Canada,Postsecondary certificate or diploma,5.2
2025,Canada,University degree,5
2025,Canada,Bachelor's degree,5
2025,Canada,Above bachelor's degree,4.9
